src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.621629
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.621761
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.621775
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.625776
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.625826
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.625862
152.53.246.111,10.52.21.225,9001,27546,TCP,128,1773570552.625862
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.625878
10.52.21.69,10.52.21.225,53,49787,UDP,121,1773570552.626503
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570552.627297
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.627316
10.52.21.69,10.52.21.225,53,55141,UDP,133,1773570552.628993
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.648551
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.648604
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.649261
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.649290
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.649325
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.649336
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.671455
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.671511
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570552.685921
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.685921
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.686000
10.52.21.225,10.52.21.69,64699,53,UDP,74,1773570552.701104
10.52.21.225,10.52.21.69,54145,53,UDP,74,1773570552.701298
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.719707
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.719791
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.720077
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.720116
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.725174
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.725212
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.727731
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.727731
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.727770
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.727817
