flow_id,packet_count,total_bytes,start_time,end_time,duration
13.107.137.11_10.52.21.225_443_33936_TCP,16,17522,1773567990.774405,1773567991.7118,1e-09
13.107.137.11_10.52.21.225_443_45699_TCP,370,46094,1773567964.455542,1773567999.496252,3.5e-08
13.89.179.11_10.52.21.225_443_45702_TCP,5,1160,1773568000.25702,1773568001.021655,1e-09
135.171.2.152_10.52.21.225_443_33984_TCP,19,13899,1773568005.654481,1773568010.358189,5e-09
149.154.167.151_10.52.21.225_443_33938_TCP,278,420424,1773567991.735259,1773568014.66406,2.3e-08
149.154.167.151_10.52.21.225_443_33939_TCP,123,153992,1773567991.735159,1773568014.66406,2.3e-08
149.154.167.151_10.52.21.225_443_33942_TCP,3,339,1773567994.187724,1773567995.252649,1e-09
149.154.167.151_10.52.21.225_443_33960_TCP,77,99963,1773567995.168776,1773568014.66432,1.9e-08
149.154.167.151_10.52.21.225_443_33980_TCP,9,2809,1773567996.569241,1773568014.66432,1.8e-08
149.154.167.151_10.52.21.225_80_33940_TCP,5,512,1773567991.733495,1773567992.661326,1e-09
149.154.167.151_10.52.21.225_80_33941_TCP,5,613,1773567991.735159,1773567992.657397,1e-09
149.154.167.151_10.52.21.225_80_33943_TCP,4,474,1773567994.187482,1773567995.388592,1e-09
149.154.167.151_10.52.21.225_80_33961_TCP,4,228,1773567995.16916,1773567995.896141,0.0
149.154.167.151_10.52.21.225_80_33981_TCP,4,228,1773567996.568946,1773567997.813004,1e-09
149.154.167.50_10.52.21.225_443_2453_TCP,3,340,1773567967.516331,1773568012.737824,4.5e-08
149.154.171.5_10.52.21.225_443_42865_TCP,2182,3360612,1773567970.406549,1773568038.462808,6.8e-08
149.154.175.52_10.52.21.225_443_33944_TCP,3,359,1773567995.373385,1773567996.168249,1e-09
149.154.175.52_10.52.21.225_443_33945_TCP,3,319,1773567995.37381,1773567996.163296,1e-09
149.154.175.52_10.52.21.225_443_33946_TCP,3,359,1773567995.252736,1773567996.135495,1e-09
149.154.175.52_10.52.21.225_443_33947_TCP,3,335,1773567995.373163,1773567996.135495,1e-09
149.154.175.52_10.52.21.225_443_33964_TCP,7,1298,1773567996.173335,1773568013.704512,1.7e-08
149.154.175.52_10.52.21.225_443_33965_TCP,2,217,1773567996.182223,1773567996.620649,0.0
149.154.175.52_10.52.21.225_443_33966_TCP,2,245,1773567996.197802,1773567996.621323,0.0
149.154.175.52_10.52.21.225_443_33967_TCP,2,265,1773567996.213225,1773567996.655625,0.0
149.154.175.52_10.52.21.225_443_33985_TCP,2,205,1773568023.123584,1773568023.770177,0.0
149.154.175.52_10.52.21.225_443_33986_TCP,2,305,1773568023.141752,1773568023.770525,0.0
149.154.175.52_10.52.21.225_443_33993_TCP,6,1264,1773568024.349468,1773568036.444263,1.2e-08
149.154.175.52_10.52.21.225_443_33994_TCP,6,1248,1773568024.349468,1773568036.444263,1.2e-08
149.154.175.52_10.52.21.225_443_64488_TCP,1,147,1773568022.168216,1773568022.168216,0.0
149.154.175.52_10.52.21.225_80_33954_TCP,3,174,1773567995.373385,1773567996.135495,1e-09
149.154.175.52_10.52.21.225_80_33955_TCP,3,174,1773567995.37381,1773567996.1528,1e-09
149.154.175.52_10.52.21.225_80_33958_TCP,3,174,1773567995.374912,1773567996.172925,1e-09
149.154.175.52_10.52.21.225_80_33959_TCP,3,174,1773567995.374912,1773567996.173335,1e-09
149.154.175.52_10.52.21.225_80_33972_TCP,3,174,1773567996.173335,1773567997.172185,1e-09
149.154.175.52_10.52.21.225_80_33974_TCP,3,174,1773567996.187837,1773567997.194086,1e-09
149.154.175.52_10.52.21.225_80_33975_TCP,3,174,1773567996.187915,1773567997.194453,1e-09
149.154.175.52_10.52.21.225_80_33979_TCP,4,228,1773567996.173335,1773567997.192022,1e-09
149.154.175.52_10.52.21.225_80_33989_TCP,3,174,1773568023.197353,1773568024.349468,1e-09
149.154.175.52_10.52.21.225_80_33992_TCP,3,174,1773568023.19021,1773568024.349468,1e-09
149.154.175.52_10.52.21.225_80_33998_TCP,5,589,1773568024.349468,1773568025.215655,1e-09
149.154.175.52_10.52.21.225_80_33999_TCP,5,520,1773568024.354283,1773568025.253353,1e-09
149.154.175.54_10.52.21.225_443_33948_TCP,3,379,1773567995.37381,1773567996.172925,1e-09
